case_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,true_loan_status,true_loan_status_string,model_prediction,is_correct
1,4,0,1,3200000,10700000,4,450,7300000,3000000,8200000,1800000,1,Approved,0,False
2,2,1,1,9900000,33200000,4,465,26300000,17000000,24400000,5000000,1,Approved,0,False
3,0,1,0,9800000,20100000,16,606,6200000,800000,37300000,8700000,1,Approved,0,False
4,5,0,0,7200000,17500000,4,380,2300000,400000,17500000,6200000,0,Rejected,0,True
5,5,0,1,4800000,10300000,8,781,4800000,6800000,11100000,4300000,1,Approved,1,True
6,0,1,0,200000,600000,12,683,400000,200000,400000,0,1,Approved,1,True
7,2,0,1,200000,500000,6,885,-100000,0,300000,200000,0,Rejected,1,False
8,4,1,1,6700000,15800000,12,466,7500000,4600000,19900000,6600000,0,Rejected,0,True
9,4,0,1,9500000,31800000,6,519,5900000,1300000,28400000,12200000,0,Rejected,1,False
10,5,0,0,3100000,10500000,6,584,7700000,2100000,10900000,2900000,1,Approved,1,True
11,3,1,0,3700000,13400000,18,373,2800000,100000,13200000,2500000,0,Rejected,0,True
12,2,0,1,9100000,34800000,20,836,21300000,10900000,30600000,9900000,1,Approved,1,True
13,4,1,1,1500000,3200000,10,858,1500000,0,4700000,1700000,1,Approved,1,True
14,3,1,0,4100000,12200000,2,457,700000,500000,14100000,4900000,0,Rejected,0,True
15,3,0,1,900000,3500000,4,770,700000,0,2000000,600000,0,Rejected,1,False
16,2,1,1,2500000,9400000,10,727,6600000,4100000,9500000,3300000,1,Approved,1,True
17,3,0,1,7400000,25700000,2,461,5700000,2900000,15100000,5100000,1,Approved,0,False
18,4,0,1,8600000,27900000,8,458,22400000,1800000,34000000,11700000,0,Rejected,0,True
19,1,0,1,9000000,18800000,8,797,4100000,9400000,22900000,7500000,1,Approved,1,True
20,3,0,0,8300000,30500000,10,473,13300000,9400000,23300000,11800000,0,Rejected,0,True
21,1,0,1,5300000,11500000,14,848,1300000,3600000,14700000,5700000,1,Approved,1,True
22,2,0,0,4800000,18900000,4,866,10200000,6000000,13900000,5900000,1,Approved,1,True
23,3,0,0,8900000,25400000,8,588,19400000,12100000,18800000,4500000,1,Approved,1,True
24,3,0,0,9200000,27100000,12,306,5800000,11500000,28000000,9600000,0,Rejected,0,True
25,2,1,1,2800000,10100000,16,531,2900000,2900000,7200000,4100000,0,Rejected,0,True
26,0,1,0,1900000,4100000,18,801,400000,800000,4800000,1200000,1,Approved,1,True
27,3,0,0,6700000,15500000,18,492,2100000,2000000,26300000,9400000,0,Rejected,0,True
28,1,1,1,4300000,14100000,12,525,2100000,1100000,14100000,5500000,0,Rejected,1,False
29,4,1,0,4300000,16500000,4,539,10600000,6100000,9300000,2100000,1,Approved,1,True
30,5,0,0,3200000,12200000,6,493,7700000,6200000,6700000,2100000,0,Rejected,1,False
31,2,0,0,3900000,14700000,16,360,2600000,200000,8300000,2900000,0,Rejected,0,True
32,4,0,1,5300000,12000000,10,329,15300000,9300000,17300000,6100000,0,Rejected,0,True
33,5,0,1,2600000,8600000,18,651,1000000,100000,7800000,2600000,1,Approved,1,True
34,5,1,1,7800000,17300000,16,493,800000,4500000,16300000,9300000,0,Rejected,0,True
35,5,1,1,7600000,15400000,14,576,2300000,2800000,24500000,4700000,1,Approved,0,False
36,1,0,0,1200000,2800000,12,431,900000,400000,2900000,900000,0,Rejected,0,True
37,1,0,0,5200000,11200000,6,698,14100000,7600000,18800000,2700000,1,Approved,1,True
38,2,0,0,1400000,4700000,20,563,400000,2300000,2800000,1400000,1,Approved,0,False
39,4,0,0,7600000,29800000,20,361,13800000,5800000,15300000,5900000,0,Rejected,0,True
40,3,1,1,6300000,17700000,2,542,16800000,900000,16400000,5300000,0,Rejected,1,False
